================================================================================
ANÁLISIS COMPLETO DE RENDIMIENTO DE ALGORITMOS DE ORDENAMIENTO
================================================================================

INFORMACIÓN GENERAL:
- Total de pruebas realizadas: 1000
- Rango de tamaños: 1,000 a 1,000,000 elementos
- Incremento: 1,000 elementos
- Fecha de ejecución: 1/10/2025, 08:00:43

================================================================================
TABLA COMPLETA DE RESULTADOS:
================================================================================
Tamaño         Elementos   Descendente (ms)    Aleatorio (ms)
--------------------------------------------------------------------------------
297,000        297         0.0055              0.0031
298,000        298         0.0054              0.0032
299,000        299         0.0059              0.0031
300,000        300         0.0056              0.0030
301,000        301         0.0097              0.0033
302,000        302         0.0064              0.0031
303,000        303         0.0056              0.0032
304,000        304         0.0055              0.0033
305,000        305         0.0055              0.0031
306,000        306         0.0058              0.0031
307,000        307         0.0056              0.0030
308,000        308         0.0056              0.0031
309,000        309         0.0056              0.0035
310,000        310         0.0083              0.0039
311,000        311         0.0057              0.0032
312,000        312         0.0058              0.0036
313,000        313         0.0057              0.0031
314,000        314         0.0056              0.0032
315,000        315         0.0057              0.0032
316,000        316         0.0058              0.0034
317,000        317         0.0059              0.0031
318,000        318         0.0058              0.0033
319,000        319         0.0060              0.0031
320,000        320         0.0057              0.0035
321,000        321         0.0060              0.0031
322,000        322         0.0058              0.0033
323,000        323         0.0057              0.0034
324,000        324         0.0064              0.0032
325,000        325         0.0058              0.0978
326,000        326         0.0067              0.0033
327,000        327         0.0059              0.0033
328,000        328         0.0061              0.0032
329,000        329         0.0062              0.0033
330,000        330         0.0062              0.0032
331,000        331         0.0059              0.0034
332,000        332         0.0063              0.0033
333,000        333         0.0061              0.0036
334,000        334         0.0060              0.0033
335,000        335         0.0062              0.0033
336,000        336         0.0062              0.0036
337,000        337         0.0063              0.0034
338,000        338         0.0061              0.0033
339,000        339         0.0063              0.0034
340,000        340         0.0064              0.0033
341,000        341         0.0063              0.0033
342,000        342         0.0064              0.0037
343,000        343         0.0064              0.0034
344,000        344         0.0061              0.0032
345,000        345         0.0061              0.0034
346,000        346         0.0061              0.0034
347,000        347         0.0063              0.0059
348,000        348         0.0062              0.0036
349,000        349         0.0063              0.0033
350,000        350         0.0063              0.0035
